Sample,D_min,Nearest,Group
sample_000,0.3715953230857849,sample_z0_y512_x128.npy,Gen_to_GT
sample_001,0.36019372940063477,sample_z384_y128_x256.npy,Gen_to_GT
sample_002,0.3532997965812683,sample_z640_y384_x256.npy,Gen_to_GT
sample_003,0.37896275520324707,sample_z128_y512_x128.npy,Gen_to_GT
sample_004,0.36322057247161865,sample_z0_y512_x128.npy,Gen_to_GT
sample_005,0.35941368341445923,sample_z128_y512_x128.npy,Gen_to_GT
sample_006,0.36800438165664673,sample_z128_y512_x128.npy,Gen_to_GT
sample_007,0.34625500440597534,sample_z0_y512_x128.npy,Gen_to_GT
sample_008,0.3555530309677124,sample_z0_y512_x128.npy,Gen_to_GT
sample_009,0.3655545115470886,sample_z0_y512_x128.npy,Gen_to_GT
sample_010,0.35230082273483276,sample_z0_y512_x128.npy,Gen_to_GT
sample_011,0.3332887887954712,sample_z128_y512_x128.npy,Gen_to_GT
sample_012,0.3533724546432495,sample_z0_y512_x128.npy,Gen_to_GT
sample_013,0.3632959723472595,sample_z0_y640_x256.npy,Gen_to_GT
sample_014,0.36764538288116455,sample_z384_y640_x0.npy,Gen_to_GT
sample_015,0.36884164810180664,sample_z0_y512_x128.npy,Gen_to_GT
sample_016,0.35008901357650757,sample_z0_y512_x128.npy,Gen_to_GT
sample_017,0.3577158451080322,sample_z128_y512_x128.npy,Gen_to_GT
sample_018,0.3553205728530884,sample_z128_y512_x128.npy,Gen_to_GT
sample_019,0.348713219165802,sample_z0_y512_x128.npy,Gen_to_GT
sample_020,0.3559868335723877,sample_z128_y512_x128.npy,Gen_to_GT
sample_021,0.3660427927970886,sample_z128_y512_x128.npy,Gen_to_GT
sample_022,0.34875762462615967,sample_z0_y512_x128.npy,Gen_to_GT
sample_023,0.35662758350372314,sample_z0_y512_x128.npy,Gen_to_GT
sample_024,0.35641247034072876,sample_z0_y512_x128.npy,Gen_to_GT
sample_025,0.3572680354118347,sample_z0_y512_x128.npy,Gen_to_GT
sample_026,0.36758559942245483,sample_z128_y640_x0.npy,Gen_to_GT
sample_027,0.36706459522247314,sample_z0_y512_x128.npy,Gen_to_GT
sample_028,0.35618501901626587,sample_z0_y512_x128.npy,Gen_to_GT
sample_029,0.36107611656188965,sample_z0_y512_x128.npy,Gen_to_GT
sample_030,0.3487388491630554,sample_z128_y512_x128.npy,Gen_to_GT
sample_031,0.36073094606399536,sample_z128_y512_x128.npy,Gen_to_GT
sample_032,0.36875373125076294,sample_z128_y512_x128.npy,Gen_to_GT
sample_033,0.3356427550315857,sample_z0_y512_x128.npy,Gen_to_GT
sample_034,0.38508856296539307,sample_z0_y512_x128.npy,Gen_to_GT
sample_035,0.3686290383338928,sample_z0_y640_x128.npy,Gen_to_GT
sample_036,0.35515087842941284,sample_z0_y512_x128.npy,Gen_to_GT
sample_037,0.353621244430542,sample_z0_y512_x128.npy,Gen_to_GT
sample_038,0.3624609708786011,sample_z0_y512_x128.npy,Gen_to_GT
sample_039,0.3648236393928528,sample_z128_y512_x128.npy,Gen_to_GT
sample_040,0.35652101039886475,sample_z0_y512_x128.npy,Gen_to_GT
sample_041,0.36547398567199707,sample_z128_y512_x128.npy,Gen_to_GT
sample_042,0.3645111322402954,sample_z256_y384_x128.npy,Gen_to_GT
sample_043,0.3617594242095947,sample_z0_y512_x128.npy,Gen_to_GT
sample_044,0.3694996237754822,sample_z0_y512_x128.npy,Gen_to_GT
sample_045,0.3645232319831848,sample_z128_y512_x128.npy,Gen_to_GT
sample_046,0.3555459976196289,sample_z128_y512_x128.npy,Gen_to_GT
sample_047,0.36200255155563354,sample_z0_y512_x256.npy,Gen_to_GT
sample_048,0.3837820291519165,sample_z640_y384_x256.npy,Gen_to_GT
sample_049,0.36693185567855835,sample_z0_y512_x128.npy,Gen_to_GT
sample_050,0.3623378276824951,sample_z128_y512_x128.npy,Gen_to_GT
sample_051,0.3672163486480713,sample_z128_y512_x128.npy,Gen_to_GT
sample_052,0.35685980319976807,sample_z0_y512_x128.npy,Gen_to_GT
sample_053,0.3479422330856323,sample_z0_y512_x128.npy,Gen_to_GT
sample_054,0.3477233648300171,sample_z128_y512_x128.npy,Gen_to_GT
sample_055,0.3635028004646301,sample_z0_y512_x128.npy,Gen_to_GT
sample_056,0.3917049765586853,sample_z128_y384_x0.npy,Gen_to_GT
sample_057,0.36105889081954956,sample_z128_y512_x128.npy,Gen_to_GT
sample_058,0.3538365364074707,sample_z0_y512_x128.npy,Gen_to_GT
sample_059,0.3437453508377075,sample_z0_y512_x128.npy,Gen_to_GT
sample_060,0.3602062463760376,sample_z640_y384_x256.npy,Gen_to_GT
sample_061,0.37432271242141724,sample_z512_y640_x640.npy,Gen_to_GT
sample_062,0.3586183190345764,sample_z128_y512_x128.npy,Gen_to_GT
sample_063,0.34475934505462646,sample_z0_y512_x128.npy,Gen_to_GT
sample_064,0.3619788885116577,sample_z0_y512_x128.npy,Gen_to_GT
sample_065,0.35451096296310425,sample_z0_y512_x128.npy,Gen_to_GT
sample_066,0.35978639125823975,sample_z128_y512_x128.npy,Gen_to_GT
sample_067,0.3644394278526306,sample_z0_y512_x128.npy,Gen_to_GT
sample_068,0.36919981241226196,sample_z640_y384_x256.npy,Gen_to_GT
sample_069,0.37226659059524536,sample_z0_y512_x128.npy,Gen_to_GT
sample_070,0.3544074296951294,sample_z0_y512_x128.npy,Gen_to_GT
sample_071,0.36483055353164673,sample_z0_y512_x128.npy,Gen_to_GT
sample_072,0.36866486072540283,sample_z128_y512_x128.npy,Gen_to_GT
sample_073,0.3812037706375122,sample_z128_y512_x128.npy,Gen_to_GT
sample_074,0.36419951915740967,sample_z128_y512_x128.npy,Gen_to_GT
sample_075,0.36294233798980713,sample_z0_y512_x128.npy,Gen_to_GT
sample_076,0.3600042462348938,sample_z0_y512_x128.npy,Gen_to_GT
sample_077,0.3503754734992981,sample_z0_y512_x128.npy,Gen_to_GT
sample_078,0.37038183212280273,sample_z128_y512_x128.npy,Gen_to_GT
sample_079,0.380481481552124,sample_z512_y640_x640.npy,Gen_to_GT
sample_080,0.35687071084976196,sample_z128_y512_x0.npy,Gen_to_GT
sample_081,0.33805251121520996,sample_z0_y512_x128.npy,Gen_to_GT
sample_082,0.3791314959526062,sample_z128_y512_x0.npy,Gen_to_GT
sample_083,0.34442776441574097,sample_z0_y512_x128.npy,Gen_to_GT
sample_084,0.3517027497291565,sample_z128_y512_x128.npy,Gen_to_GT
sample_085,0.36570030450820923,sample_z0_y512_x384.npy,Gen_to_GT
