r,GT_mean,GT_sd,Gen_mean,Gen_sd,AbsDiff_mean_curves
0,0.7336599421170023,0.01836976123051544,0.2677669161558151,0.016992805863877643,0.46589302596118715
1,0.7195588093664911,0.018565450867043795,0.25371779402097056,0.016783338289451655,0.4658410153455205
2,0.7059083259032094,0.018769182987535292,0.23989747663338984,0.016577366123630873,0.46601084926981956
3,0.6928973568626396,0.018972029690522044,0.22649800817171728,0.016376407078216186,0.46639934869092237
4,0.6806616039003857,0.019169980054830466,0.21366824646790833,0.016181937672765538,0.46699335743247733
5,0.6692767936138452,0.0193633590718082,0.20155966619650517,0.015992718030016798,0.46771712741734
6,0.6587775489430365,0.019558135047296567,0.19035673042138423,0.015808519483620765,0.4684208185216523
7,0.6491575054364437,0.019757355284028343,0.18024784326553348,0.01562671662360938,0.46890966217091024
8,0.6403710056602221,0.019960681156153036,0.17129387040932972,0.015441538192674653,0.46907713525089234
9,0.6323451451313348,0.020165223130182354,0.16338777621587117,0.015250987840982971,0.4689573689154636
10,0.6249945985130323,0.020370118167728726,0.1563271653652191,0.01505620875046911,0.46866743314781323
11,0.6182348716222208,0.020573527189629015,0.14988168080647785,0.014856566683333274,0.46835319081574295
12,0.6119926748452365,0.02077448488691714,0.1438370440403621,0.014650541428447687,0.4681556308048743
13,0.6062121432688501,0.020972813434008024,0.13802571634451546,0.014436157188688485,0.46818642692433465
14,0.6008434790520022,0.02116881959455314,0.13234751403331757,0.014214162379297896,0.4684959650186846
15,0.5958472906991289,0.02136406065224949,0.12677138884862263,0.013986141033244547,0.4690759018505063
16,0.5911918341377632,0.021557740666561437,0.12132334510485326,0.013752659542232147,0.46986848903290995
17,0.5868511707694443,0.02174963653102158,0.11606627782185873,0.013514693428675876,0.4707848929475855
18,0.5828071277082704,0.021940132754817435,0.11108360330263775,0.013274206890811817,0.4717235244056326
19,0.5790451176372576,0.0221285463850761,0.10645569503307346,0.01303298158107648,0.4725894226041842
20,0.5755508104224264,0.022313083862378867,0.1022325495878855,0.012795436084506668,0.47331826083454087
21,0.572308148222941,0.02249212119520775,0.09843581577142078,0.012562895560970152,0.47387233245152016
22,0.5693018306736592,0.022665766053876196,0.09505759398142498,0.01233671489467247,0.47424423669223426
23,0.5665142607909665,0.022833824097531347,0.09206970214843752,0.012116372506262333,0.47444455864252894
24,0.5639313536661641,0.022997304683574655,0.0894330940643946,0.011903215150310438,0.4744982596017695
25,0.561539565615448,0.0231563062962245,0.08710971375306448,0.011696686761148057,0.47442985186238357
26,0.559326391161224,0.02331157992802968,0.08506614009539286,0.011497833393708582,0.4742602510658311
27,0.5572812908593517,0.023463315810929853,0.08327428658803303,0.011308267907498308,0.4740070042713187
28,0.5553948544425726,0.023610749099638412,0.08170956889788313,0.011127254990946158,0.4736852855446895
29,0.5536553926857901,0.0237544319665566,0.0803495411078135,0.010954392215353576,0.4733058515779766
30,0.5520544845012969,0.023895472033941767,0.07917168517907462,0.010789873559266031,0.47288279932222227
31,0.5505837921375113,0.024033709630522242,0.0781525291999181,0.010633602404502028,0.4724312629375932
32,0.5492349611020381,0.024169216712517542,0.07726724863052369,0.010484146497945287,0.47196771247151437
33,0.5480010312648466,0.024302708367981745,0.07649196565151212,0.01034054024682171,0.47150906561333444
