dataset,metric,n,mean,sd,median,q1,q3,min,max,ci95_low,ci95_high
GT,NumPores,216,1591.087962962963,149.22013282557532,1592.5,1487.0,1674.5,1274.0,2086.0,1571.0971064814814,1611.1766203703703
GT,NumThroats,216,2310.587962962963,241.0376630678835,2304.5,2153.75,2459.25,1759.0,2955.0,2278.438310185185,2342.959490740741
GT,MeanCN_AllPores,216,2.9040084583343733,0.1305863583687792,2.9006279028814195,2.809375045286574,2.9920518986569227,2.569086651053864,3.311541027351568,2.886284217384023,2.9218781081273906
GT,MeanCN_ConnectedPores,216,3.23110217252659,0.11502718288748805,3.2194688111442935,3.156192350297169,3.3073121865201074,2.9509078681909884,3.6553755522827687,3.2156539404526523,3.2468557045541777
GT,MedianCN_AllPores,216,1.9814814814814814,0.13513001363761487,2.0,2.0,2.0,1.0,2.0,1.962962962962963,1.9953703703703705
GT,FracCN0,216,0.10143627703413943,0.015565626203154243,0.09993343384557445,0.09010412545986785,0.11323260956179312,0.0651505838967424,0.1457142857142857,0.09938728515169688,0.10352539575733953
GT,FracCN1,216,0.35043287324355404,0.016035365144495096,0.3496643726151115,0.3394627438439398,0.36033001669377407,0.3086978381096028,0.3926460932370322,0.3483413032797396,0.3525782620824075
GT,FracCN2,216,0.10708257045647311,0.008268388709311524,0.10747428617395086,0.10153786742992135,0.1120905413631679,0.0826446280991735,0.1286231884057971,0.10597728504748119,0.10817382342438547
GT,FracCN_ge3,216,0.44104827926583323,0.024686910161171558,0.43919884362331363,0.4233755512134331,0.4606015798066193,0.3770491803278688,0.4923301680058436,0.4377610361521906,0.44431992393267206
GT,FracCN_ge4,216,0.3211192618979903,0.020463354097681095,0.3209825549794232,0.30638529250663,0.3345588235294117,0.2682926829268293,0.3657109420713867,0.31834855794488887,0.3238531044423735
Gen,NumPores,100,1331.05,47.53719968125335,1329.0,1294.0,1365.0,1225.0,1483.0,1321.85,1340.32
Gen,NumThroats,100,2088.23,91.70218099914527,2083.5,2019.25,2154.5,1872.0,2317.0,2070.3095,2105.74
Gen,MeanCN_AllPores,100,3.137931265983253,0.08861353450290602,3.1276621423023734,3.0875558867362147,3.18652041290473,2.917151162790698,3.3967517401392118,3.121003191288139,3.154897833829831
Gen,MeanCN_ConnectedPores,100,3.1549990635580034,0.08760522866658024,3.1455278466341703,3.1073052366917375,3.2015275406299097,2.940659340659341,3.4125874125874125,3.138288716617329,3.1718131799530904
Gen,MedianCN_AllPores,100,2.505,0.49997474683702525,2.75,2.0,3.0,2.0,3.0,2.405,2.6
Gen,FracCN0,100,0.005420142299774144,0.0022449742977916987,0.0053537355357011,0.003741927620726675,0.006907333863952475,0.0014577259475218,0.0117907148120854,0.004981723263257032,0.005870965133416198
Gen,FracCN1,100,0.3491610465537163,0.011619590925319404,0.34811327240462164,0.3424184283862477,0.3568637481768509,0.3191964285714285,0.3915857605177993,0.3469251418817677,0.351478854708052
Gen,FracCN2,100,0.14574218268838707,0.011240355153389748,0.1464108311219936,0.13855594459102616,0.1526077097505668,0.1227521501172791,0.1699846860643185,0.14353160452438898,0.1479671667306295
Gen,FracCN_ge3,100,0.49967662845812244,0.013861984595986893,0.500576479631053,0.4908990649085185,0.5101319837943948,0.4723655121591746,0.5311740890688259,0.49696885153228754,0.5023603494323846
Gen,FracCN_ge4,100,0.3460900105432308,0.01571998420409594,0.34580126188055704,0.3359402021497132,0.35539197332991407,0.3108728943338438,0.3866976024748647,0.3430479427177354,0.34909774840431906
