Group,Sample,Path,Shape,RawTrueFraction,FinalPorosity,Inverted,CleanPorosity,SmallObjectMinSize,Connectivity,NumPores,NumThroats,MeanCN_AllPores,MeanCN_ConnectedPores,MedianCN_AllPores,MaxCN,FracCN0,FracCN1,FracCN2,FracCN_ge3,FracCN_ge4,RuntimeSeconds
GT,sample_z0_y0_x0.npy,..\dataset\NPY\Bentheimer\sample_z0_y0_x0.npy,256x256x256,0.7425366640090942,0.25746333599090576,True,0.25722700357437134,34,3,1494,2177,2.9143239625167334,3.2395833333333335,2.0,58,0.10040160642570281,0.3507362784471218,0.10910307898259705,0.4397590361445783,0.33400267737617134,26.03475546836853
GT,sample_z0_y0_x128.npy,..\dataset\NPY\Bentheimer\sample_z0_y0_x128.npy,256x256x256,0.7592529058456421,0.2407470941543579,True,0.24052298069000244,34,3,1632,2386,2.924019607843137,3.27522306108442,2.0,25,0.10723039215686274,0.3272058823529412,0.10600490196078431,0.45955882352941174,0.33455882352941174,19.520164489746094
GT,sample_z0_y0_x256.npy,..\dataset\NPY\Bentheimer\sample_z0_y0_x256.npy,256x256x256,0.718539297580719,0.281460702419281,True,0.2812280058860779,34,3,1698,2430,2.862190812720848,3.222811671087533,2.0,27,0.11189634864546526,0.3504122497055359,0.10777385159010601,0.4299175500588928,0.30918727915194344,20.523380279541016
GT,sample_z0_y0_x384.npy,..\dataset\NPY\Bentheimer\sample_z0_y0_x384.npy,256x256x256,0.7071893811225891,0.2928106188774109,True,0.2925528287887573,34,3,1704,2339,2.745305164319249,3.0980132450331124,2.0,27,0.11384976525821597,0.38086854460093894,0.1068075117370892,0.3984741784037559,0.2857981220657277,23.068681240081787
GT,sample_z0_y0_x512.npy,..\dataset\NPY\Bentheimer\sample_z0_y0_x512.npy,256x256x256,0.706949770450592,0.29305022954940796,True,0.2928099036216736,34,3,1743,2401,2.755020080321285,3.0782051282051284,2.0,60,0.10499139414802065,0.3843947217441193,0.102122776821572,0.408491107286288,0.2862880091795754,22.968515872955322
GT,sample_z0_y0_x640.npy,..\dataset\NPY\Bentheimer\sample_z0_y0_x640.npy,256x256x256,0.7088456153869629,0.2911543846130371,True,0.2908831834793091,34,3,1872,2692,2.876068376068376,3.1857988165680475,2.0,58,0.09722222222222222,0.3712606837606838,0.1063034188034188,0.4252136752136752,0.31677350427350426,24.62419080734253
GT,sample_z0_y128_x0.npy,..\dataset\NPY\Bentheimer\sample_z0_y128_x0.npy,256x256x256,0.7479481101036072,0.2520518898963928,True,0.2518274188041687,34,3,1632,2379,2.9154411764705883,3.2323369565217392,2.0,36,0.09803921568627451,0.35355392156862747,0.11029411764705882,0.4381127450980392,0.3327205882352941,21.020002841949463
GT,sample_z0_y128_x128.npy,..\dataset\NPY\Bentheimer\sample_z0_y128_x128.npy,256x256x256,0.7244104743003845,0.2755895256996155,True,0.2753891348838806,34,3,1705,2645,3.102639296187683,3.430609597924773,2.0,35,0.09560117302052785,0.32199413489736073,0.11026392961876832,0.47214076246334313,0.3519061583577713,21.948350191116333
GT,sample_z0_y128_x256.npy,..\dataset\NPY\Bentheimer\sample_z0_y128_x256.npy,256x256x256,0.7270470261573792,0.27295297384262085,True,0.2727091908454895,34,3,1761,2659,3.0198750709823963,3.370088719898606,2.0,29,0.10391822827938671,0.34128336172629187,0.11584327086882454,0.4389551391254969,0.3316297558205565,21.450326919555664
GT,sample_z0_y128_x384.npy,..\dataset\NPY\Bentheimer\sample_z0_y128_x384.npy,256x256x256,0.7400908470153809,0.25990915298461914,True,0.2596307396888733,34,3,1646,2270,2.75820170109356,3.1267217630853996,2.0,25,0.11786148238153099,0.3626974483596598,0.12818955042527339,0.39125151883353587,0.2910085054678007,20.434619903564453
