r,GT_mean,GT_sd,Gen_mean,Gen_sd,AbsDiff_mean_curves
0,0.26634005788299775,0.01836976123051544,0.2677669161558151,0.016992805863877643,0.0014268582728173551
1,0.2522389251324865,0.018191520853280848,0.25371779402097056,0.016783338289451655,0.0014788688884840306
2,0.23858844166920498,0.018036297885879297,0.23989747663338984,0.016577366123630873,0.0013090349641848575
3,0.22557747262863473,0.017904564940110432,0.22649800817171728,0.016376407078216186,0.0009205355430825513
4,0.21334171966638074,0.017791024864243974,0.21366824646790833,0.016181937672765538,0.00032652680152758795
5,0.2019569093798413,0.01768707459168126,0.20155966619650517,0.015992718030016798,0.00039724318333611564
6,0.19145766470903222,0.017581518262143356,0.19035673042138423,0.015808519483620765,0.0011009342876479866
7,0.1818376212024394,0.017468227711115863,0.18024784326553348,0.01562671662360938,0.0015897779369059284
8,0.1730511214262174,0.017344826562767965,0.17129387040932972,0.015441538192674653,0.0017572510168876732
9,0.16502526089733033,0.01721273780547892,0.16338777621587117,0.015250987840982971,0.0016374846814591615
10,0.15767471427902763,0.017072360055347163,0.1563271653652191,0.01505620875046911,0.0013475489138085328
11,0.15091498738821638,0.016926380845507412,0.14988168080647785,0.014856566683333274,0.00103330658173853
12,0.14467279061123173,0.016775846382817632,0.1438370440403621,0.014650541428447687,0.0008357465708696277
13,0.13889225903484556,0.01662150688639141,0.13802571634451546,0.014436157188688485,0.0008665426903300966
14,0.13352359481799753,0.016463836530159176,0.13234751403331757,0.014214162379297896,0.001176080784679956
15,0.12852740646512426,0.01630141371748814,0.12677138884862263,0.013986141033244547,0.0017560176165016261
16,0.12387194990375885,0.016134911212530727,0.12132334510485326,0.013752659542232147,0.0025486047989055904
17,0.11953128653543965,0.01596437096038538,0.11606627782185873,0.013514693428675876,0.003465008713580922
18,0.11548724347426573,0.015789680924603682,0.11108360330263775,0.013274206890811817,0.004403640171627976
19,0.11172523340325304,0.015611419453614123,0.10645569503307346,0.01303298158107648,0.005269538370179572
20,0.1082309261884218,0.015431622790058507,0.1022325495878855,0.012795436084506668,0.005998376600536301
21,0.1049882639889364,0.015251671522945088,0.09843581577142078,0.012562895560970152,0.006552448217515619
22,0.1019819464396547,0.015072437355625582,0.09505759398142498,0.01233671489467247,0.006924352458229727
23,0.09919437655696166,0.014895152101553658,0.09206970214843752,0.012116372506262333,0.007124674408524143
24,0.09661146943215974,0.01471943565344395,0.0894330940643946,0.011903215150310438,0.0071783753677651385
25,0.09421968138144342,0.014545672362296834,0.08710971375306448,0.011696686761148057,0.007109967628378941
26,0.09200650692721944,0.014373611540722229,0.08506614009539286,0.011497833393708582,0.006940366831826583
27,0.0899614066253474,0.014203391988985778,0.08327428658803303,0.011308267907498308,0.0066871200373143785
28,0.08807497020856839,0.014036657498635667,0.08170956889788313,0.011127254990946158,0.006365401310685262
29,0.0863355084517856,0.01387298795652159,0.0803495411078135,0.010954392215353576,0.005985967343972096
30,0.0847346002672925,0.013711576077526587,0.07917168517907462,0.010789873559266031,0.005562915088217879
31,0.08326390790350643,0.013552785375397263,0.0781525291999181,0.010633602404502028,0.00511137870358834
32,0.08191507686803373,0.013396573344338308,0.07726724863052369,0.010484146497945287,0.004647828237510046
33,0.08068114703084216,0.013241724722419754,0.07649196565151212,0.01034054024682171,0.00418918137933004
34,0.07955565708286966,0.0130878558685729,0.07580521921316784,0.01020597243425828,0.00375043786970182
35,0.07853392106883315,0.01293541725280434,0.07518962919712069,0.010082095376483429,0.0033442918717124653
36,0.07760827068561389,0.012784470304156725,0.07463415682315827,0.00997117920955928,0.0029741138624556213
37,0.07677351591395745,0.012635426101851947,0.07413202444712322,0.009872866207734183,0.0026414914668342337
38,0.07602256223743338,0.012488930419549939,0.07368148326873782,0.009787071629678217,0.0023410789686955646
39,0.07534863974577119,0.012346087193688605,0.07328347285588585,0.009712894752585261,0.0020651668898853393
40,0.07474584114036441,0.012207898682659653,0.07294005433718363,0.009649431156302719,0.0018057868031807756
41,0.07420790416223032,0.012074603050505655,0.07264999369780224,0.009594283151851155,0.001557910464428075
42,0.07372882879442637,0.011947075019272236,0.07241263230641679,0.009546728105227754,0.0013161964880095828
43,0.07330442229170854,0.01182557096153037,0.07222318232059481,0.009506005218263308,0.0010812399711137288
44,0.0729298738785732,0.011709922149072145,0.07207623402277628,0.00947064565555485,0.0008536398557969227
45,0.072600319981575,0.011600376441589264,0.07196363965670269,0.009441500175769113,0.0006366803248723102
46,0.07231158054905171,0.011494441039386209,0.07187729895114897,0.00941841591644227,0.0004342815979027359
47,0.07206065640037444,0.011392057963601687,0.07180924812952678,0.009401523825995078,0.0002514082708476584
48,0.07184543037488138,0.011293459209838385,0.07175395131111145,0.009388849490611865,9.147906376992532e-05
49,0.07166405960365578,0.01119912169597142,0.07170708417892453,0.009380559662113274,4.302457526875192e-05
50,0.07151443410066909,0.011108454239764186,0.07166586458683014,0.009377409931686545,0.00015143048616104993
51,0.07139294226596385,0.011022031384574126,0.07163001219431561,0.009376815917393238,0.000237069928351763
52,0.07129481646381779,0.01094059659192041,0.071597118973732,0.009377937051961818,0.00030230250991421237
53,0.07121713293923267,0.010864392268639445,0.07156857132911683,0.009380668271635627,0.0003514383898841622
54,0.07115835705657063,0.01079428239981579,0.0715456728140513,0.009383969511699206,0.0003873157574806746
55,0.0711155726033964,0.010729939757406269,0.07152998268604277,0.009388525457186292,0.0004144100826463659
56,0.07108758665897226,0.01067126030242621,0.07152060627937315,0.009393334868214151,0.00043301962040089015
57,0.07107113099392551,0.010617859595620246,0.07151738206545512,0.009397395314694,0.0004462510715296103
58,0.07106358300388592,0.010567777354783207,0.07152000725269318,0.009400666296834937,0.0004564242488072634
59,0.07106177104108133,0.01052090669584112,0.07152821044127144,0.009402403857694967,0.0004664394001901162
60,0.07106676247016884,0.010476862067301244,0.07153892517089842,0.009402972572221838,0.00047216270072958366
61,0.07107825420888857,0.010434517908207982,0.07154990136623385,0.009400854224519393,0.0004716471573452813
62,0.07109487121119912,0.010395141566898481,0.0715582501888275,0.00939603789728663,0.00046337897762838143
63,0.07111710742299938,0.010357272178263769,0.07156194150447845,0.00938859927935085,0.00044483408147906467
64,0.07114461882982727,0.010322154946063524,0.07155768851439159,0.00937838275256979,0.0004130696845643239
65,0.07117525193794273,0.010290054062359524,0.07154403507709502,0.009366937123168452,0.00036878313915228444
66,0.07120979871646857,0.010261390100908119,0.07152270416418709,0.00935562692581146,0.00031290544771851725
67,0.07124468785377194,0.010235643925444736,0.07149544815222418,0.009345378423707312,0.0002507602984522378
68,0.07127908562068581,0.010213649590938947,0.07146539787451428,0.0093359478487653,0.00018631225382846617
69,0.07131163270017246,0.01019442699041791,0.07143506189187368,0.009327351040814613,0.0001234291917012187
70,0.07134133807302996,0.010178489608761996,0.07140666743119557,0.00931940262651969,6.532935816561114e-05
71,0.07136744996647779,0.010166045528951919,0.07138072073459627,0.00931203664762058,1.3270768118481269e-05
72,0.0713892328886338,0.010156241281771658,0.07135852893193564,0.009304294614620534,3.0703956698158175e-05
73,0.07140544461615289,0.010148249740255676,0.07133985579013824,0.009295864222348817,6.558882601465088e-05
74,0.0714165599625788,0.010141667852618727,0.07132580002148947,0.009288446646205642,9.075994108932728e-05
75,0.07142404549651674,0.01013620779331987,0.07131570180257164,0.009281143868688961,0.00010834369394509269
76,0.07142798032289671,0.010131591004826456,0.07130802154541013,0.00927413219007913,0.00011995877748657846
77,0.07143055482043158,0.010129026771927164,0.07130206147829692,0.009266329434290534,0.00012849334213466124
78,0.071431236502565,0.010128430705911313,0.0712951914469401,0.009257210673824252,0.00013604505562489488
79,0.07142926274258413,0.010128355561432269,0.07128795822461446,0.009247042722581818,0.00014130451796966204
80,0.07142573208720597,0.01012765710478567,0.07127925535043081,0.009236558028197686,0.00014647673677516126
81,0.07142135316942944,0.010126391148312578,0.07126864572366079,0.009226951036065075,0.00015270744576864614
82,0.07141562891595155,0.010124840052996681,0.07125668088595073,0.009218219863551534,0.00015894803000081337
83,0.07140701411314948,0.010123385060578359,0.07124428451061247,0.009210670742092732,0.00016272960253700675
84,0.07139444912289393,0.010123696188190815,0.07123299400011698,0.009206012447069457,0.00016145512277694618
